ID,Name,Frame,Ex,Var,Min,Max,Dif,Neg
1308,NSP.CHARA_TR2,DA,30.03320879,273.861664901,11.0993025573,54.7428860844,43.6435835271,10.7469013617
1309,NSP.CHARA_TR4,DA,22.9206439208,144.220814719,8.00755522828,41.0786303387,33.0710751105,15.8288757977
1310,NSP.CHEMOLSPO,DA,35.9240378335,324.447730551,15.7271471272,63.812580538,48.0854334108,0.127455994686
1311,NSP.CHPFAL_TR1,DA,33.677910746,178.835606958,17.7705328597,54.7770159858,37.0064831261,0.0290319715808
1312,NSP.CHPFAL_TR2,DA,33.6911748816,178.904504398,17.779955595,54.7952220249,37.0152664298,0.0288543516874
1313,NSP.CISCO1,DA,24.9477157437,213.497874115,7.65920756416,46.6270959027,38.9678883386,11.7998559208
1314,NSP.CMMPA.DEL,DA,36.5835158585,341.099546126,15.8910993026,64.7486981069,48.8575988044,0.107077382929
1315,NSP.CMMPA.FAIR,DA,37.615324643,354.863279162,16.493261375,66.3680471604,49.8747857855,0.168123546994
1316,NSP.CMMPA.GF,DA,34.2146972213,297.706017755,14.9263035536,60.3560611093,45.4297575556,0.31379275988
1317,NSP.CMMPA.GLEN,DA,36.5057478136,339.208351538,15.9181600797,64.643497177,48.7253370973,0.158625041514
1318,NSP.CMMPA.JANE,DA,37.6558756781,358.280607527,16.2457754899,66.7810694122,50.5352939223,0.210534706078
1319,NSP.CMMPA.KASS,DA,36.3970165707,361.6834291,14.7630995935,65.0560331978,50.2929336043,1.17458672087
1320,NSP.CMMPA.KEN,DA,37.9991699878,359.855981426,16.5360112919,67.1069810694,50.5709697775,0.138847558951
1321,NSP.CMMPA.SE,DA,38.2047741614,369.817622042,16.6560909997,67.4602756559,50.8041846563,0.167196944537
